"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","stimulus","question_order"
"","","","","","html-button-response","10","237678","0.0-5.2-1.2","2459","0","<table> <tr> <td> Earth + Fire → </td> <td> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> </td> </tr> </table>",""
"","","","","","survey-multi-select","11","259486","0.0-5.3-0.3","21795","{""Trial"":[""Air (🜁)"",""Earth (🜃)""],""Q1"":[]}","","[0,1]"
"","","","","","html-button-response","12","296812","0.0-5.3-1.3","37314","0","<table> <tr> <td> Air + Earth → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Lead.png""> </td> </tr> </table>",""
"","","","","","survey-multi-select","13","375343","0.0-5.4-0.4","78510","{""Trial"":[""Air (🜁)"",""Fire (🜂)"",""Water (🜄)""],""Q1"":[]}","","[0,1]"
"","","","","","html-button-response","14","378824","0.0-5.4-1.4","3472","0","<table> <tr> <td> Air + Fire + Water → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> </td> </tr> </table>",""
"","","","","","survey-multi-select","15","408605","0.0-5.5-0.5","29757","{""Trial"":[""Earth (🜃)"",""Fire (🜂)"",""Water (🜄)""],""Q1"":[]}","","[0,1]"
"","","","","","html-button-response","16","412890","0.0-5.5-1.5","4274","0","<table> <tr> <td> Earth + Fire + Water → </td> <td> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> <img width=""50"" height=""50"" src=""img/Gold.png""> </td> </tr> </table>",""
"","","","","","survey-multi-select","17","438610","0.0-5.6-0.6","25688","{""Trial"":[""Air (🜁)"",""Earth (🜃)"",""Fire (🜂)"",""Water (🜄)""],""Q1"":[]}","","[0,1]"
"","","","","","html-button-response","18","442519","0.0-5.6-1.6","3900","0","<table> <tr> <td> Air + Earth + Fire + Water → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> <img width=""50"" height=""50"" src=""img/Lead.png""> <img width=""50"" height=""50"" src=""img/Silver.png""> <img width=""50"" height=""50"" src=""img/Gold.png""> </td> </tr> </table>",""
"","","","","","survey-multi-select","19","655803","0.0-5.7-0.7","213244","{""Trial"":[""Air (🜁)"",""Earth (🜃)"",""Water (🜄)""],""Q1"":[]}","","[0,1]"
"","","","","","html-button-response","20","658151","0.0-5.7-1.7","2336","0","<table> <tr> <td> Air + Earth + Water → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> <img width=""50"" height=""50"" src=""img/Lead.png""> <img width=""50"" height=""50"" src=""img/Silver.png""> </td> </tr> </table>",""
"","","","","","html-button-response","21","660129","0.0-6.0","1959","0","<p> Congratulations! <br> The experimenter will now ask you to record what you think each compound produces. <br>
        For reference, below are the compounds you tested. </p>
        <center> <hr> Known Compounds: <br> <center> <table style=""width:75%""> 
          <tr> 
            <td> <center> Air (🜁) </center></td>
            <td> <center> Earth (🜃) </center></td>
            <td> <center> Fire (🜂) </center></td>
            <td> <center> Water (🜄) </center></td>
          </tr>
          <tr> 
            <td> <center> ↓ </center></td>
            <td> <center> ↓ </center></td>
            <td> <center> ↓ </center></td>
            <td> <center> ↓ </center></td>
          </tr>
          <tr> 
            <td> <center> <img width=""50"" height=""50"" src=""img/Antinomy.png""> </center></td>
            <td> <center> <img width=""50"" height=""50"" src=""img/Bismuth.png""> </center></td>
            <td> <center> <img width=""50"" height=""50"" src=""img/Arsenic.png""> </center></td>
            <td> <center> <img width=""50"" height=""50"" src=""img/Sulfur.png""> </center></td>
          </tr> </table> </center> <hr>
        <center> Tested Compounds: </p> <table> <tr> <td style= ""text-align: right""> 1: Earth (🜃) + Water (🜄) → </td> <td> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> </td> </tr> <tr> <td style= ""text-align: right""> 2: Air (🜁) + Fire (🜂) → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> </td> </tr> <tr> <td style= ""text-align: right""> 3: Earth (🜃) + Fire (🜂) → </td> <td> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> </td> </tr> <tr> <td style= ""text-align: right""> 4: Air (🜁) + Earth (🜃) → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Lead.png""> </td> </tr> <tr> <td style= ""text-align: right""> 5: Air (🜁) + Fire (🜂) + Water (🜄) → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> </td> </tr> <tr> <td style= ""text-align: right""> 6: Earth (🜃) + Fire (🜂) + Water (🜄) → </td> <td> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> <img width=""50"" height=""50"" src=""img/Gold.png""> </td> </tr> <tr> <td style= ""text-align: right""> 7: Air (🜁) + Earth (🜃) + Fire (🜂) + Water (🜄) → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> <img width=""50"" height=""50"" src=""img/Arsenic.png""> <img width=""50"" height=""50"" src=""img/Lead.png""> <img width=""50"" height=""50"" src=""img/Silver.png""> <img width=""50"" height=""50"" src=""img/Gold.png""> </td> </tr> <tr> <td style= ""text-align: right""> 8: Air (🜁) + Earth (🜃) + Water (🜄) → </td> <td> <img width=""50"" height=""50"" src=""img/Antinomy.png""> <img width=""50"" height=""50"" src=""img/Bismuth.png""> <img width=""50"" height=""50"" src=""img/Sulfur.png""> <img width=""50"" height=""50"" src=""img/Lead.png""> <img width=""50"" height=""50"" src=""img/Silver.png""> </td> </tr> </table> </center>",""
